XH,0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
202112801001,0,0,0,0,0,0,69,68,2,1,205,5,0,0,2,2,139,20,0,0,0,0
202112801002,0,0,0,0,0,0,36,172,13,1,168,54,0,0,0,0,59,40,3,0,1,1
202112801003,0,0,0,0,0,3,0,8,0,2,2,2,0,0,0,1,8,1,0,0,0,0
202112801004,0,0,0,0,0,0,2,50,3,0,110,46,0,0,0,1,121,57,2,3,5,0
202112801005,0,0,0,0,0,5,19,39,17,4,43,55,2,0,0,0,9,93,11,0,0,0
202112801006,0,0,0,0,0,2,3,49,8,0,60,44,0,0,0,0,68,23,6,0,0,0
202112801007,0,0,0,0,0,21,204,35,2,5,157,20,0,0,0,9,101,40,5,3,0,0
202112801008,0,0,0,0,0,1,5,20,14,19,49,13,0,0,1,0,6,3,0,0,0,0
202112801009,0,0,0,0,0,0,25,53,2,7,93,66,0,0,0,1,77,66,2,0,0,0
202112801010,0,0,0,0,0,49,142,82,29,50,89,87,2,0,3,31,77,39,9,1,3,11
202112801011,0,0,0,0,0,0,0,0,0,0,12,13,1,0,0,2,7,7,0,0,0,0
202112801012,0,0,0,0,0,3,11,56,13,45,252,39,3,0,1,11,161,135,9,1,2,0
202112801013,0,0,0,0,0,3,16,148,25,7,157,161,10,0,0,3,79,236,9,0,0,0
202122801001,0,0,0,0,0,2,1,37,8,1,93,73,0,0,0,0,77,72,1,0,0,0
202122801002,0,0,0,0,0,4,29,63,22,1,201,111,2,0,3,1,196,71,4,0,0,0
202122801003,0,0,0,0,0,0,2,19,2,0,168,29,0,0,0,0,94,28,22,0,0,0
202122801004,0,0,0,0,0,0,0,2,0,0,75,6,0,0,0,0,9,4,0,0,0,0
202122801005,0,0,0,0,0,0,9,21,1,13,248,52,0,1,0,11,214,13,5,0,0,0
202122801006,0,0,0,0,0,1,81,239,38,7,256,88,2,1,0,4,300,28,0,0,0,0
202122801007,0,0,0,0,0,7,59,55,4,3,165,60,1,0,0,3,95,36,0,0,0,0
202122801008,0,0,0,0,0,1,4,82,2,3,193,18,0,0,1,5,185,26,1,0,0,0
202122801009,0,0,0,0,0,0,9,148,102,8,146,111,0,0,0,1,125,135,24,2,0,0
202122801010,0,0,0,0,0,4,19,38,2,12,205,14,0,1,0,9,197,11,0,0,0,0
202122801011,0,0,0,0,0,1,22,81,10,7,257,42,0,2,2,5,225,52,2,0,2,4
202122801012,0,0,0,0,0,0,5,87,6,10,159,7,0,1,0,6,191,2,0,0,0,0
202122801013,0,0,0,0,0,0,1,3,0,3,115,12,1,0,0,0,79,48,0,0,0,0
202122801014,0,0,0,0,0,0,4,39,5,0,36,21,0,0,0,0,15,26,2,0,0,0
202122801015,0,0,0,0,0,0,3,66,98,4,163,80,5,1,7,2,187,59,8,1,0,0
202122801016,0,1,0,0,0,3,24,163,11,13,199,23,3,0,2,13,216,24,0,0,0,0
202122801017,0,0,0,0,0,2,8,121,7,10,162,3,0,0,1,5,201,4,0,0,0,0
202122801018,0,0,0,0,0,0,7,61,3,1,87,43,1,0,0,0,101,22,0,0,0,0
202122801019,0,0,0,0,0,3,5,82,2,24,181,31,0,0,0,4,157,53,2,0,0,0
202122801020,0,0,0,0,0,0,2,100,14,2,198,38,1,2,0,1,85,96,0,0,0,0
202122801021,0,0,0,0,0,1,0,23,2,2,176,21,0,0,0,0,166,38,4,0,0,0
202122801022,0,0,0,0,0,5,18,83,2,10,221,38,1,0,0,2,120,17,3,0,0,0
